scene,frame,frame_idx,original_path,cleaned_path,ego_x,ego_y,ego_z,ego_yaw,num_points_original,num_points_cleaned,points_removed_pct,ground_z_min,ground_z_max,ground_z_mean,hag_min,hag_max,hag_mean,x_min,x_max,y_min,y_max,z_min,z_max,threshold_m,tile_size_m,Antenna_original,Antenna_cleaned,Cable_original,Cable_cleaned,Electric Pole_original,Electric Pole_cleaned,Wind Turbine_original,Wind Turbine_cleaned,noise_original,noise_cleaned
scene_1,frame_000,0,/content/hackathon/processed/scene_1/frame_000.npz,/content/hackathon/cleaned/scene_1/frame_000.npz,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,299435,133548,55.4,-20.88843536376953,23.922733306884766,-14.029422427601702,2.0000932216644287,42.80839395523071,7.707641564654264,25.88370132446289,291.6465759277344,-107.15008544921875,176.88552856445312,-17.820125579833984,46.82847595214844,2.0,5.0,347,329,0,0,0,0,0,0,299088,133219
scene_1,frame_001,1,/content/hackathon/processed/scene_1/frame_001.npz,/content/hackathon/cleaned/scene_1/frame_001.npz,-164525.171875,-129881.3671875,14278.4794921875,46.65750503540039,220976,87838,60.25,-55.287174224853516,-2.414788007736206,-31.73312272253039,2.0000839233398438,44.57946014404297,7.020401408666195,27.876270294189453,282.9525451660156,-193.12322998046875,203.72015380859375,-50.926979064941406,23.673120498657227,2.0,5.0,411,343,0,0,0,0,0,0,220565,87495
scene_1,frame_002,2,/content/hackathon/processed/scene_1/frame_002.npz,/content/hackathon/cleaned/scene_1/frame_002.npz,-153971.078125,-81466.8515625,11939.0205078125,-97.28401184082031,266799,130673,51.02,-41.738121032714844,24.82123565673828,-11.09011749095311,2.0000109672546387,44.524903774261475,6.16422189105463,-156.1766357421875,281.12884521484375,-264.885498046875,175.06591796875,-28.332712173461914,57.07014846801758,2.0,5.0,1875,1653,0,0,0,0,0,0,264924,129020
scene_1,frame_003,3,/content/hackathon/processed/scene_1/frame_003.npz,/content/hackathon/cleaned/scene_1/frame_003.npz,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,225631,108674,51.84,-72.03336334228516,24.924461364746094,-18.7560409211476,2.0000667572021484,61.861297607421875,6.810403935135063,5.718689441680908,296.6612243652344,-195.2033233642578,204.85728454589844,-68.45994567871094,24.645570755004883,2.0,5.0,599,530,256,173,1593,1414,0,0,223183,106557
scene_1,frame_004,4,/content/hackathon/processed/scene_1/frame_004.npz,/content/hackathon/cleaned/scene_1/frame_004.npz,-146298.328125,-71516.1484375,12660.767578125,34.52610397338867,253443,105603,58.33,-44.378238677978516,43.7101936340332,-13.487278275008666,2.000155448913574,62.38069534301758,6.262471009284863,9.971586227416992,266.6465148925781,-142.67819213867188,140.8444061279297,-35.377315521240234,46.787620544433594,2.0,5.0,58,42,149,80,2934,2754,0,0,250302,102727
scene_1,frame_005,5,/content/hackathon/processed/scene_1/frame_005.npz,/content/hackathon/cleaned/scene_1/frame_005.npz,-140508.953125,-29302.34765625,14938.9287109375,-58.1540641784668,182066,82758,54.55,-81.31951904296875,4.775756359100342,-38.52660787667049,2.0000228881835938,69.3178129196167,7.4265883766642355,12.343493461608887,294.4363098144531,-226.76239013671875,200.1173095703125,-74.15079498291016,23.96452522277832,2.0,5.0,15095,11190,744,476,1714,1472,1,0,164512,69620
scene_1,frame_006,6,/content/hackathon/processed/scene_1/frame_006.npz,/content/hackathon/cleaned/scene_1/frame_006.npz,-131119.5,-24241.548828125,12662.2333984375,-30.525184631347656,198923,104548,47.44,-70.01799774169922,21.623544692993164,-32.78518743889992,2.0000152587890625,109.50582885742188,6.847950372752932,33.35721206665039,293.1683044433594,-197.3992156982422,202.30062866210938,-58.111724853515625,63.89384841918945,2.0,5.0,0,0,1105,926,2181,1938,1912,1726,193725,99958
scene_1,frame_007,7,/content/hackathon/processed/scene_1/frame_007.npz,/content/hackathon/cleaned/scene_1/frame_007.npz,-128151.3125,-58768.8359375,12032.224609375,31.6767578125,211081,102550,51.42,-68.96415710449219,46.48225784301758,-42.33573933798616,2.000089645385742,86.04085540771484,6.805022484236267,41.445098876953125,297.2276306152344,-200.94932556152344,205.2819366455078,-66.54241180419922,59.234920501708984,2.0,5.0,5312,4406,40,34,131,113,1810,1592,203788,96405
scene_1,frame_008,8,/content/hackathon/processed/scene_1/frame_008.npz,/content/hackathon/cleaned/scene_1/frame_008.npz,-122197.8359375,-56510.43359375,10000.0,67.17717742919922,254484,105300,58.62,-48.66206359863281,81.4737777709961,-21.9485652924718,2.0000171661376953,103.30271530151367,6.455746896508656,16.7816162109375,296.68878173828125,-201.24966430664062,192.93365478515625,-46.65898895263672,89.51673126220703,2.0,5.0,0,0,265,154,1728,1444,2141,1937,250350,101765
scene_1,frame_009,9,/content/hackathon/processed/scene_1/frame_009.npz,/content/hackathon/cleaned/scene_1/frame_009.npz,-118847.6796875,-35871.97265625,10000.0,33.06077575683594,266018,129233,51.42,-40.634883880615234,43.70914840698242,-21.713387538233068,2.000164031982422,63.648353576660156,10.125408759763957,18.65398597717285,296.949462890625,-199.54782104492188,203.4113311767578,-37.43008804321289,45.819210052490234,2.0,5.0,101,81,304,230,7205,6915,17419,15278,240989,106729
scene_1,frame_010,10,/content/hackathon/processed/scene_1/frame_010.npz,/content/hackathon/cleaned/scene_1/frame_010.npz,-118569.890625,-122502.90625,13143.154296875,28.953144073486328,213780,82689,61.32,-49.20856475830078,0.4304914176464081,-33.62939619765833,2.0000381469726562,46.91658973693848,8.150505420921569,40.50627517700195,298.7399597167969,-184.38201904296875,185.854736328125,-46.407188415527344,19.48182487487793,2.0,5.0,647,581,1,1,0,0,156,0,212976,82107
scene_1,frame_011,11,/content/hackathon/processed/scene_1/frame_011.npz,/content/hackathon/cleaned/scene_1/frame_011.npz,-115656.921875,-35289.77734375,10319.681640625,9.260138511657715,253269,101038,60.11,-46.97575759887695,9.887602806091309,-29.70927862082985,2.0000133514404297,42.54140520095825,9.10780634842617,7.527360439300537,289.23046875,-197.86199951171875,200.98031616210938,-41.6462516784668,16.11003303527832,2.0,5.0,130,116,164,145,41,28,34708,27901,218226,72848
scene_1,frame_012,12,/content/hackathon/processed/scene_1/frame_012.npz,/content/hackathon/cleaned/scene_1/frame_012.npz,-112116.7421875,-37649.80078125,10000.0,109.33391571044922,305734,165687,45.81,-42.3215217590332,51.798728942871094,-19.641865767831725,2.00018310546875,73.20660018920898,8.788372427632074,27.75804328918457,298.1409606933594,-197.6624298095703,191.4453582763672,-38.94224548339844,56.04128646850586,2.0,5.0,125,109,1013,900,1535,1473,29192,24272,273869,138933
scene_1,frame_013,13,/content/hackathon/processed/scene_1/frame_013.npz,/content/hackathon/cleaned/scene_1/frame_013.npz,-111886.3984375,2962.671875,13174.6552734375,-51.93439865112305,203190,109790,45.97,-84.13645935058594,12.011280059814453,-18.533678044732714,2.0000181198120117,58.39930331707001,4.759458849327802,7.347464084625244,289.5995788574219,-194.44183349609375,112.48090362548828,-75.75591278076172,6.904024124145508,2.0,5.0,62,49,779,420,818,638,0,0,201531,108683
scene_1,frame_014,14,/content/hackathon/processed/scene_1/frame_014.npz,/content/hackathon/cleaned/scene_1/frame_014.npz,-110165.640625,-24621.900390625,10000.0,139.79489135742188,359306,216178,39.83,-28.503856658935547,73.36695861816406,-9.745529507604642,2.000019073486328,64.67478942871094,7.902973861604056,22.137678146362305,289.0501403808594,-192.00650024414062,132.73257446289062,-26.29145622253418,73.89732360839844,2.0,5.0,471,413,1911,1589,13875,12770,0,0,343049,201406
scene_1,frame_015,15,/content/hackathon/processed/scene_1/frame_015.npz,/content/hackathon/cleaned/scene_1/frame_015.npz,-102915.515625,-16831.05859375,10000.0,87.86849212646484,284216,148613,47.71,-46.04737091064453,55.42798614501953,-22.96360944293397,2.0000152587890625,68.32873153686523,8.614398457381379,39.1041374206543,299.7248840332031,-178.85934448242188,188.9266815185547,-42.897804260253906,63.077178955078125,2.0,5.0,49,40,1545,1365,3287,3106,0,0,279335,144102
scene_1,frame_016,16,/content/hackathon/processed/scene_1/frame_016.npz,/content/hackathon/cleaned/scene_1/frame_016.npz,-101299.765625,10373.138671875,10355.009765625,111.11748504638672,362078,150631,58.4,-29.883630752563477,76.5423355102539,-6.343698654796456,2.0000038146972656,18.706560611724854,6.084228054259798,12.601304054260254,197.3497314453125,-134.83572387695312,115.0849609375,-27.29214096069336,78.96277618408203,2.0,5.0,35642,27437,0,0,0,0,0,0,326436,123194
