scene,threshold_m,Antenna_total,Antenna_survived,Antenna_survival_pct,Cable_total,Cable_survived,Cable_survival_pct,Electric Pole_total,Electric Pole_survived,Electric Pole_survival_pct,Wind Turbine_total,Wind Turbine_survived,Wind Turbine_survival_pct,noise_total,noise_survived,noise_survival_pct,noise_removed_pct,all_points_total,all_points_survived,all_points_survival_pct
scene_1,2,211771,168931,79.77060126268469,52131,30207,57.944409276630026,50744,45833,90.32200851332178,685614,574700,83.82267573299261,23912525,9473143,39.61582057938256,60.38417942061744,24912785,10292814,41.31538886559652
scene_1,5,211771,134900,63.70088444593453,52131,24055,46.14336958815292,50744,42483,83.72024278732461,685614,504004,73.51133436598435,23912525,5804700,24.27472632020249,75.72527367979751,24912785,6510142,26.131731157315414
scene_10,2,48723,39012,80.06896127085771,5030,2811,55.88469184890656,23959,18758,78.29208230727492,446086,379831,85.14748277238022,25597327,8620025,33.67548885084759,66.32451114915241,26121125,9060437,34.68624341409491
scene_10,5,48723,31646,64.95084457032613,5030,2490,49.50298210735586,23959,13493,56.317041612755126,446086,326252,73.13657007841537,25597327,4474177,17.479078967893795,82.5209210321062,26121125,4848058,18.55991271432605
scene_2,2,68899,58933,85.53534884396001,34000,21890,64.38235294117646,128817,107036,83.09151742394249,279588,245795,87.91328669327724,27072122,9196079,33.96881485684794,66.03118514315206,27583426,9629733,34.91130144602052
scene_2,5,68899,51144,74.23039521618601,34000,20735,60.98529411764706,128817,77400,60.08523719695382,279588,221623,79.2677081992074,27072122,5164498,19.076812670983088,80.92318732901691,27583426,5535400,20.06784798958621
scene_3,2,73172,60099,82.13387634614332,127172,79620,62.608121284559495,264002,215627,81.67627517973348,679365,575266,84.6770145650718,23473155,9387817,39.993844031618245,60.006155968381755,24616866,10318429,41.91609524949277
scene_3,5,73172,48935,66.87667413764828,127172,79460,62.482307426163,264002,192977,73.09679472125211,679365,496197,73.03835199046168,23473155,5732169,24.42010458329952,75.57989541670048,24616866,6549738,26.606709399969926
scene_4,2,228277,194916,85.3857375031212,4284,2307,53.851540616246496,12566,10366,82.492439917237,351577,304948,86.73718701735324,25287035,7724577,30.547579026168943,69.45242097383105,25883739,8237114,31.823508960587187
scene_4,5,228277,168677,73.89136881946057,4284,2264,52.847805788982264,12566,8970,71.38309724653827,351577,277658,78.97501827480183,25287035,4041953,15.984289973102817,84.01571002689718,25883739,4499522,17.383585887649385
scene_5,2,440108,366715,83.32386596017342,663,458,69.07993966817496,0,0,,348753,273883,78.53208431181955,27283941,9567201,35.065319192707534,64.93468080729247,28073465,10208257,36.362654200327604
scene_5,5,440108,315602,71.71012569641996,663,398,60.030165912518854,0,0,,348753,222381,63.7646127775245,27283941,4776581,17.50693200809956,82.49306799190043,28073465,5314962,18.93233343301228
scene_6,2,118481,96165,81.16491251761886,19138,10976,57.351865398683245,3952,2885,73.00101214574899,310030,236224,76.193916717737,25092076,8448489,33.66994823385678,66.33005176614321,25543677,8794739,34.430199692863326
scene_6,5,118481,77235,65.18766722090461,19138,8134,42.50182882223848,3952,2055,51.99898785425101,310030,208185,67.14995323033254,25092076,4972582,19.817339944291575,80.18266005570842,25543677,5268191,20.62424685373214
scene_7,2,456649,368747,80.75064217812806,24066,3864,16.05584642233857,87,66,75.86206896551724,261515,213426,81.61137984436839,26298379,8145942,30.975072646112523,69.02492735388748,27040696,8732045,32.29223463774749
scene_7,5,456649,310072,67.90160495260037,24066,3798,15.781600598354526,87,56,64.36781609195403,261515,185480,70.92518593579719,26298379,4189548,15.930822200105945,84.06917779989405,27040696,4688954,17.340359878310824
scene_8,2,72175,62132,86.08520956009698,89830,52574,58.526104864744525,18784,17141,91.25319420783646,172024,130179,75.6749058270939,24927183,8999997,36.10515075048793,63.89484924951207,25279996,9262023,36.637755005973894
scene_8,5,72175,53691,74.39002424662279,89830,51906,57.782478014026495,18784,14081,74.96273424190801,172024,100600,58.480212063433015,24927183,4909888,19.6969228331978,80.3030771668022,25279996,5130166,20.293381375535027
scene_9,2,83893,64284,76.62617858462566,5564,3890,69.9137311286844,7232,6797,93.98506637168141,516254,417726,80.91482099896564,25846783,9314606,36.03777692566228,63.96222307433772,26459726,9807303,37.06502100588646
scene_9,5,83893,46056,54.89850166283242,5564,3772,67.79295470884256,7232,6115,84.55475663716814,516254,347643,67.33952666710573,25846783,5282315,20.43703079025347,79.56296920974653,26459726,5685901,21.488888433689752
