scene,pose_index,ego_x,ego_y,ego_z,ego_yaw,num_points_raw,num_points_valid,num_invalid_dropped,file
scene_1,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,-1,299435,-1,processed/scene_1/frame_000.npz
scene_1,1,-164525.171875,-129881.3671875,14278.4794921875,46.65750503540039,-1,220976,-1,processed/scene_1/frame_001.npz
scene_1,2,-153971.078125,-81466.8515625,11939.0205078125,-97.28401184082031,-1,266799,-1,processed/scene_1/frame_002.npz
scene_1,3,-149158.46875,-38387.5234375,14950.1162109375,34.17045593261719,-1,225631,-1,processed/scene_1/frame_003.npz
scene_1,4,-146298.328125,-71516.1484375,12660.767578125,34.52610397338867,-1,253443,-1,processed/scene_1/frame_004.npz
scene_1,5,-140508.953125,-29302.34765625,14938.9287109375,-58.1540641784668,-1,182066,-1,processed/scene_1/frame_005.npz
scene_1,6,-131119.5,-24241.548828125,12662.2333984375,-30.525184631347656,-1,198923,-1,processed/scene_1/frame_006.npz
scene_1,7,-128151.3125,-58768.8359375,12032.224609375,31.6767578125,-1,211081,-1,processed/scene_1/frame_007.npz
scene_1,8,-122197.8359375,-56510.43359375,10000.0,67.17717742919922,-1,254484,-1,processed/scene_1/frame_008.npz
scene_1,9,-118847.6796875,-35871.97265625,10000.0,33.06077575683594,-1,266018,-1,processed/scene_1/frame_009.npz
scene_1,10,-118569.890625,-122502.90625,13143.154296875,28.953144073486328,-1,213780,-1,processed/scene_1/frame_010.npz
scene_1,11,-115656.921875,-35289.77734375,10319.681640625,9.260138511657715,-1,253269,-1,processed/scene_1/frame_011.npz
scene_1,12,-112116.7421875,-37649.80078125,10000.0,109.33391571044922,-1,305734,-1,processed/scene_1/frame_012.npz
scene_1,13,-111886.3984375,2962.671875,13174.6552734375,-51.93439865112305,-1,203190,-1,processed/scene_1/frame_013.npz
scene_1,14,-110165.640625,-24621.900390625,10000.0,139.79489135742188,-1,359306,-1,processed/scene_1/frame_014.npz
scene_1,15,-102915.515625,-16831.05859375,10000.0,87.86849212646484,-1,284216,-1,processed/scene_1/frame_015.npz
scene_1,16,-101299.765625,10373.138671875,10355.009765625,111.11748504638672,-1,362078,-1,processed/scene_1/frame_016.npz
scene_1,17,-101087.3359375,-136317.328125,12768.3955078125,-177.70062255859375,-1,235563,-1,processed/scene_1/frame_017.npz
scene_1,18,-100036.1484375,47913.05078125,10373.7490234375,23.32222557067871,-1,262198,-1,processed/scene_1/frame_018.npz
scene_1,19,-99062.65625,-63374.9296875,10000.0,164.79962158203125,-1,261763,-1,processed/scene_1/frame_019.npz
scene_1,20,-98533.1875,-29098.298828125,10292.484375,-158.3688507080078,-1,255772,-1,processed/scene_1/frame_020.npz
scene_1,21,-92469.6953125,-164425.765625,15589.9541015625,76.2470703125,-1,218929,-1,processed/scene_1/frame_021.npz
scene_1,22,-92232.8125,-149011.0,13479.109375,-3.9687068462371826,-1,298951,-1,processed/scene_1/frame_022.npz
scene_1,23,-88649.40625,-57051.55078125,10214.736328125,-45.13181686401367,-1,257158,-1,processed/scene_1/frame_023.npz
scene_1,24,-86911.828125,-130535.2109375,12167.974609375,-95.62692260742188,-1,282381,-1,processed/scene_1/frame_024.npz
scene_1,25,-86628.0859375,-136055.703125,12074.484375,-99.15970611572266,-1,289966,-1,processed/scene_1/frame_025.npz
scene_1,26,-85595.5859375,53379.98046875,10000.0,43.75777053833008,-1,271270,-1,processed/scene_1/frame_026.npz
scene_1,27,-85566.75,-18547.669921875,10000.0,-171.91676330566406,-1,266940,-1,processed/scene_1/frame_027.npz
scene_1,28,-84915.3359375,-93814.7421875,10689.1591796875,42.368202209472656,-1,265685,-1,processed/scene_1/frame_028.npz
scene_1,29,-84102.0703125,53529.48828125,10000.0,92.4236068725586,-1,292495,-1,processed/scene_1/frame_029.npz
scene_1,30,-82847.03125,55961.34375,10000.0,-137.4200439453125,-1,281479,-1,processed/scene_1/frame_030.npz
scene_1,31,-80904.046875,-100929.4140625,11010.845703125,-149.68438720703125,-1,258324,-1,processed/scene_1/frame_031.npz
scene_1,32,-77521.1796875,-88575.671875,10387.4404296875,64.05915069580078,-1,267436,-1,processed/scene_1/frame_032.npz
scene_1,33,-76505.765625,-74175.2578125,10000.0,-7.4287567138671875,-1,287608,-1,processed/scene_1/frame_033.npz
scene_1,34,-72800.3046875,-48024.296875,10000.0,-85.90030670166016,-1,261537,-1,processed/scene_1/frame_034.npz
scene_1,35,-65866.171875,7594.62744140625,10000.0,7.7914204597473145,-1,215863,-1,processed/scene_1/frame_035.npz
scene_1,36,-64603.41015625,-24595.111328125,10000.0,-14.343361854553223,-1,240959,-1,processed/scene_1/frame_036.npz
scene_1,37,-63776.83984375,59840.0859375,10000.0,63.21255111694336,-1,264043,-1,processed/scene_1/frame_037.npz
scene_1,38,-63424.3515625,-7159.0859375,10000.0,-24.955459594726562,-1,242480,-1,processed/scene_1/frame_038.npz
scene_1,39,-62918.9609375,10328.9248046875,10000.0,170.4125213623047,-1,209250,-1,processed/scene_1/frame_039.npz
scene_1,40,-59958.98828125,44796.69921875,10544.087890625,-33.46106719970703,-1,222333,-1,processed/scene_1/frame_040.npz
scene_1,41,-56111.37890625,-8927.05859375,10000.0,3.9625816345214844,-1,234027,-1,processed/scene_1/frame_041.npz
scene_1,42,-53179.1953125,-127628.2578125,14848.9853515625,102.2601089477539,-1,219488,-1,processed/scene_1/frame_042.npz
scene_1,43,-52633.39453125,-65518.22265625,10076.095703125,-152.75674438476562,-1,273270,-1,processed/scene_1/frame_043.npz
scene_1,44,-50740.296875,37300.12890625,10000.0,22.188213348388672,-1,278181,-1,processed/scene_1/frame_044.npz
scene_1,45,-50492.9296875,62578.98828125,10000.0,98.89835357666016,-1,241937,-1,processed/scene_1/frame_045.npz
scene_1,46,-50246.81640625,-13530.9853515625,10000.0,147.1187286376953,-1,253998,-1,processed/scene_1/frame_046.npz
scene_1,47,-50246.3515625,-6836.97265625,10000.0,-102.770263671875,-1,250638,-1,processed/scene_1/frame_047.npz
scene_1,48,-49352.19921875,41525.12890625,10000.0,-91.1578140258789,-1,238035,-1,processed/scene_1/frame_048.npz
scene_1,49,-48142.8125,-66818.2890625,13646.443359375,-160.40576171875,-1,202382,-1,processed/scene_1/frame_049.npz
scene_1,50,-47861.19921875,-6112.09375,10000.0,-119.46662902832031,-1,243971,-1,processed/scene_1/frame_050.npz
scene_1,51,-45510.16015625,-66656.1484375,13259.7880859375,-161.97438049316406,-1,205953,-1,processed/scene_1/frame_051.npz
scene_1,52,-44104.82421875,30009.3203125,10000.0,-7.518002510070801,-1,231679,-1,processed/scene_1/frame_052.npz
scene_1,53,-43947.515625,14946.05078125,10000.0,-105.42675018310547,-1,233225,-1,processed/scene_1/frame_053.npz
scene_1,54,-42335.97265625,-15939.1611328125,10000.0,160.53561401367188,-1,236315,-1,processed/scene_1/frame_054.npz
scene_1,55,-42076.87109375,-1061.840087890625,10000.0,-129.26138305664062,-1,240221,-1,processed/scene_1/frame_055.npz
scene_1,56,-36038.51953125,-14631.396484375,10000.0,-40.15648651123047,-1,263309,-1,processed/scene_1/frame_056.npz
scene_1,57,-35134.4375,-47977.94140625,11339.3388671875,70.48961639404297,-1,264564,-1,processed/scene_1/frame_057.npz
scene_1,58,-32334.359375,58857.66796875,11999.1259765625,-98.58969116210938,-1,234214,-1,processed/scene_1/frame_058.npz
scene_1,59,-30177.43359375,-43842.07421875,12203.0634765625,120.56830596923828,-1,208688,-1,processed/scene_1/frame_059.npz
scene_1,60,-28805.8125,-45889.375,13242.2646484375,121.7546157836914,-1,183861,-1,processed/scene_1/frame_060.npz
scene_1,61,-27148.2421875,-34052.3125,10020.7646484375,89.73686981201172,-1,229213,-1,processed/scene_1/frame_061.npz
scene_1,62,-26543.89453125,-1620.3480224609375,10000.0,-95.17977142333984,-1,239765,-1,processed/scene_1/frame_062.npz
scene_1,63,-24947.5,-3902.515869140625,10000.0,-124.59876251220703,-1,241430,-1,processed/scene_1/frame_063.npz
scene_1,64,-22613.224609375,-39778.11328125,11755.390625,61.95964431762695,-1,225865,-1,processed/scene_1/frame_064.npz
scene_1,65,-22393.353515625,-5618.236328125,10000.0,-164.38729858398438,-1,229944,-1,processed/scene_1/frame_065.npz
scene_1,66,-22343.0,25794.154296875,10000.0,86.06072998046875,-1,297558,-1,processed/scene_1/frame_066.npz
scene_1,67,-20838.685546875,-3995.847412109375,10000.0,-154.75538635253906,-1,228585,-1,processed/scene_1/frame_067.npz
scene_1,68,-20034.068359375,-26715.509765625,10000.0,-132.5414581298828,-1,290844,-1,processed/scene_1/frame_068.npz
scene_1,69,-19134.634765625,-20245.865234375,10000.0,21.7626953125,-1,279576,-1,processed/scene_1/frame_069.npz
scene_1,70,-16179.17578125,-7924.77587890625,10000.0,-83.3761215209961,-1,288858,-1,processed/scene_1/frame_070.npz
scene_1,71,-15400.8330078125,-3385.025634765625,10000.0,-163.1187744140625,-1,228965,-1,processed/scene_1/frame_071.npz
scene_1,72,-14640.109375,-24572.125,10000.0,61.247989654541016,-1,250195,-1,processed/scene_1/frame_072.npz
scene_1,73,-12472.8154296875,-38141.98828125,12627.365234375,-174.24234008789062,-1,255798,-1,processed/scene_1/frame_073.npz
scene_1,74,-8788.623046875,38901.90625,10000.0,57.461082458496094,-1,237655,-1,processed/scene_1/frame_074.npz
scene_1,75,-8038.00732421875,-5472.568359375,10000.0,-175.66390991210938,-1,227000,-1,processed/scene_1/frame_075.npz
scene_1,76,-5061.71240234375,20962.421875,10000.0,160.2761688232422,-1,231191,-1,processed/scene_1/frame_076.npz
scene_1,77,-4024.562255859375,22445.3515625,10000.0,-13.033595085144043,-1,243657,-1,processed/scene_1/frame_077.npz
scene_1,78,-40.66158676147461,34905.07421875,10000.0,-160.69601440429688,-1,223348,-1,processed/scene_1/frame_078.npz
scene_1,79,1154.2742919921875,1776.2598876953125,10000.0,43.9891471862793,-1,252534,-1,processed/scene_1/frame_079.npz
scene_1,80,1206.830322265625,-664.0382690429688,10000.0,1.5416203737258911,-1,307992,-1,processed/scene_1/frame_080.npz
scene_1,81,2461.68798828125,51252.21484375,10000.0,-139.05325317382812,-1,241208,-1,processed/scene_1/frame_081.npz
scene_1,82,7699.3173828125,26609.63671875,10000.0,-43.1941032409668,-1,262026,-1,processed/scene_1/frame_082.npz
scene_1,83,8457.76953125,8003.0634765625,10000.0,46.59192657470703,-1,251464,-1,processed/scene_1/frame_083.npz
scene_1,84,9534.9052734375,4601.65673828125,10000.0,-45.761146545410156,-1,368263,-1,processed/scene_1/frame_084.npz
scene_1,85,10517.3916015625,-8042.65771484375,10000.0,63.81712341308594,-1,301790,-1,processed/scene_1/frame_085.npz
scene_1,86,10880.734375,19357.376953125,10000.0,-16.00714111328125,-1,289989,-1,processed/scene_1/frame_086.npz
scene_1,87,11800.9794921875,-11501.15234375,11223.0380859375,-166.7003173828125,-1,239403,-1,processed/scene_1/frame_087.npz
scene_1,88,13212.4658203125,22306.658203125,10000.0,-48.89828872680664,-1,307557,-1,processed/scene_1/frame_088.npz
scene_1,89,15733.5498046875,22065.486328125,10000.0,-69.7746810913086,-1,311060,-1,processed/scene_1/frame_089.npz
scene_1,90,17442.41015625,-398.6395263671875,12150.6171875,178.39566040039062,-1,201498,-1,processed/scene_1/frame_090.npz
scene_1,91,17595.59375,37434.96484375,10000.0,-90.49625396728516,-1,244338,-1,processed/scene_1/frame_091.npz
scene_1,92,18046.1875,15458.048828125,10000.0,107.13131713867188,-1,237766,-1,processed/scene_1/frame_092.npz
scene_1,93,25673.216796875,678.4796752929688,15427.7822265625,-175.0187225341797,-1,149652,-1,processed/scene_1/frame_093.npz
scene_1,94,26165.21484375,42309.7421875,10000.0,-49.491554260253906,-1,249601,-1,processed/scene_1/frame_094.npz
scene_1,95,30565.259765625,13138.8974609375,10857.9775390625,67.65458679199219,-1,211375,-1,processed/scene_1/frame_095.npz
scene_1,96,30587.763671875,62575.28515625,10000.0,-74.4589614868164,-1,239629,-1,processed/scene_1/frame_096.npz
scene_1,97,34890.09765625,23650.16796875,10000.0,-160.54647827148438,-1,249948,-1,processed/scene_1/frame_097.npz
scene_1,98,39273.4375,59509.12109375,10028.0478515625,-118.55057525634766,-1,226114,-1,processed/scene_1/frame_098.npz
scene_1,99,71417.3359375,66770.9375,10000.0,-10.874415397644043,-1,11363,-1,processed/scene_1/frame_099.npz
scene_10,0,-200781.203125,-50055.87890625,21544.142578125,-14.424566268920898,-1,282313,-1,processed/scene_10/frame_000.npz
scene_10,1,-200707.90625,-145051.84375,16184.9697265625,59.234134674072266,-1,232920,-1,processed/scene_10/frame_001.npz
scene_10,2,-199674.6875,-65426.10546875,16002.3349609375,-42.465694427490234,-1,242175,-1,processed/scene_10/frame_002.npz
scene_10,3,-198033.546875,-108881.671875,16440.041015625,56.66337585449219,-1,228179,-1,processed/scene_10/frame_003.npz
scene_10,4,-195031.5625,-64889.62890625,17055.423828125,59.85529708862305,-1,378862,-1,processed/scene_10/frame_004.npz
scene_10,5,-190276.859375,-149709.140625,17273.154296875,9.36799144744873,-1,202927,-1,processed/scene_10/frame_005.npz
scene_10,6,-188727.1875,-123825.3125,15273.328125,90.71109771728516,-1,305047,-1,processed/scene_10/frame_006.npz
scene_10,7,-183603.578125,-47130.5859375,22509.732421875,-97.80079650878906,-1,142633,-1,processed/scene_10/frame_007.npz
scene_10,8,-183319.15625,-87463.8203125,14482.3447265625,111.3499526977539,-1,295692,-1,processed/scene_10/frame_008.npz
scene_10,9,-173788.515625,-145880.40625,14303.9130859375,-9.8992919921875,-1,270931,-1,processed/scene_10/frame_009.npz
scene_10,10,-171116.234375,-98214.328125,14549.185546875,-13.926050186157227,-1,223018,-1,processed/scene_10/frame_010.npz
scene_10,11,-170259.828125,-157460.75,15251.072265625,-130.40061950683594,-1,291813,-1,processed/scene_10/frame_011.npz
scene_10,12,-169841.09375,-131928.9375,15760.2861328125,-92.68907928466797,-1,264158,-1,processed/scene_10/frame_012.npz
scene_10,13,-169747.375,-68927.4375,12768.8310546875,44.21337890625,-1,287713,-1,processed/scene_10/frame_013.npz
scene_10,14,-168835.84375,50520.4921875,22681.857421875,-107.59547424316406,-1,445823,-1,processed/scene_10/frame_014.npz
scene_10,15,-167511.171875,-15166.08984375,23316.46875,75.64567565917969,-1,296801,-1,processed/scene_10/frame_015.npz
scene_10,17,-164882.484375,-17241.029296875,23097.421875,-24.590896606445312,-1,113675,-1,processed/scene_10/frame_017.npz
scene_10,18,-163484.9375,-40286.7578125,16849.1796875,62.48501968383789,-1,318567,-1,processed/scene_10/frame_018.npz
scene_10,19,-162779.375,59323.3828125,18599.833984375,-116.50479888916016,-1,395169,-1,processed/scene_10/frame_019.npz
scene_10,20,-161309.125,-28778.09375,16027.4228515625,42.249969482421875,-1,435240,-1,processed/scene_10/frame_020.npz
scene_10,21,-161185.53125,-148363.953125,14804.7587890625,-133.4967803955078,-1,283484,-1,processed/scene_10/frame_021.npz
scene_10,22,-159676.15625,-150004.8125,15408.2734375,161.85604858398438,-1,261976,-1,processed/scene_10/frame_022.npz
scene_10,23,-158581.6875,-107114.5859375,14768.4716796875,45.35348129272461,-1,195870,-1,processed/scene_10/frame_023.npz
scene_10,24,-154039.359375,19808.29296875,23733.427734375,-120.95079040527344,-1,355135,-1,processed/scene_10/frame_024.npz
scene_10,25,-153796.625,-98881.8203125,13614.8408203125,-93.02873229980469,-1,238572,-1,processed/scene_10/frame_025.npz
scene_10,26,-150775.765625,-29019.630859375,18381.037109375,115.69623565673828,-1,315271,-1,processed/scene_10/frame_026.npz
scene_10,27,-149151.046875,-128513.859375,13249.4765625,-139.99513244628906,-1,278995,-1,processed/scene_10/frame_027.npz
scene_10,28,-148950.4375,-114219.4921875,12291.2421875,-79.3265609741211,-1,269139,-1,processed/scene_10/frame_028.npz
scene_10,29,-148106.6875,18993.62890625,19224.0078125,51.29819107055664,-1,228991,-1,processed/scene_10/frame_029.npz
scene_10,30,-147676.265625,23073.9921875,19048.794921875,-60.391624450683594,-1,303549,-1,processed/scene_10/frame_030.npz
scene_10,31,-147307.34375,-138638.578125,12155.3740234375,70.53076934814453,-1,268148,-1,processed/scene_10/frame_031.npz
scene_10,32,-146844.234375,70006.09375,11066.140625,-52.57248306274414,-1,278667,-1,processed/scene_10/frame_032.npz
scene_10,33,-146602.171875,59888.484375,12648.537109375,4.844390392303467,-1,232849,-1,processed/scene_10/frame_033.npz
scene_10,34,-145279.125,41397.46484375,16697.2890625,-179.87754821777344,-1,408211,-1,processed/scene_10/frame_034.npz
scene_10,35,-142807.78125,8800.681640625,18240.275390625,106.830078125,-1,306799,-1,processed/scene_10/frame_035.npz
scene_10,36,-142092.609375,-27134.80078125,15565.462890625,157.5658721923828,-1,374311,-1,processed/scene_10/frame_036.npz
scene_10,37,-140585.0625,71648.53125,11468.4365234375,-84.7430191040039,-1,300176,-1,processed/scene_10/frame_037.npz
scene_10,38,-140486.53125,40808.83203125,14651.0146484375,87.29812622070312,-1,217611,-1,processed/scene_10/frame_038.npz
scene_10,39,-139493.671875,-129583.171875,11912.365234375,-148.5705108642578,-1,307595,-1,processed/scene_10/frame_039.npz
